Instituicao,Tipo,Ramo,Abrangencia,Site,Relevancia_estrategica,Por_que_importa,Pessoas_mapeadas,Eventos_proprios,Publicacoes_relatorios,Observacoes,Data_ultima_revisao
"Sistema OCB","Entidade de representação","Todos os ramos","Nacional","somoscooperativismo.coop.br","Máxima","Representação institucional do cooperativismo brasileiro. Publica o AnuárioCoop e a Agenda Institucional — as duas principais fontes de dado setorial agregado.",2,"CoopNext; assembleias","AnuárioCoop; Agenda Institucional do Cooperativismo","AnuárioCoop 2026: 29 milhões de cooperados e 4.400 cooperativas (grau B). Agenda Institucional 2026 completa 20 anos.","2026-08-30"
"Banco Central do Brasil","Regulador","Cooperativismo financeiro","Nacional","bcb.gov.br","Máxima","Fonte primária (grau A) de todo dado do SNCC. Define a agenda regulatória e de capital do ramo crédito.",0,"Participação no Concred","Panorama do SNCC; Unicad; Relatório de Estabilidade Financeira","ATENÇÃO: o PDF do Panorama mais divulgado publicamente tem data-base dezembro/2022. Verificar sempre a data-base antes de citar.","2026-08-30"
"Sicredi","Sistema cooperativo financeiro","Crédito","Nacional","sicredi.com.br","Máxima","Sistema no qual Sergio atua como conselheiro (Sicredi Conexão). Território de legitimidade natural — e de cuidado reputacional.",1,"Summit Governança; ciclo assemblear","Relatórios anuais","Ciclo assemblear 2026 com participações recorde em várias singulares. Sergio deve evitar qualquer conteúdo que soe como fala institucional do Sicredi.","2026-08-30"
"Sicoob","Sistema cooperativo financeiro","Crédito","Nacional","sicoob.com.br","Máxima","Maior contraparte sistêmica. Ênio Meinen é a voz doutrinária mais ativa do ramo.",3,"Concred (coorganização setorial)","Relatórios anuais","","2026-08-30"
"Concred","Evento setorial","Crédito","Nacional/mundial",,"Máxima","Maior congresso de cooperativismo financeiro do mundo em número de participantes. Bienal. Define a pauta do ramo por dois anos.",3,"16ª edição: 26-28/08/2026, PUC Goiás, Goiânia","Anais e cobertura setorial","16º Concred: +5.000 participantes, +60 palestrantes, 5 eixos temáticos. JANELA ABERTA — encerrou em 28/08/2026.","2026-08-30"
"Cresol","Sistema cooperativo financeiro","Crédito","Nacional","cresol.com.br","Alta","Terceiro sistema relevante; forte em agricultura familiar.",0,,,"A mapear.","2026-08-30"
"Ailos","Sistema cooperativo financeiro","Crédito","Regional (SC)","ailos.coop.br","Alta","Referência em modelo de participação e proximidade com o associado — laboratório natural para a tese OX.",0,,,"A mapear.","2026-08-30"
"Unicred","Sistema cooperativo financeiro","Crédito","Nacional","unicred.com.br","Média-alta","Nicho de profissionais liberais e saúde; perfil de associado distinto.",0,,,"A mapear.","2026-08-30"
"Confebras","Confederação","Crédito","Nacional","confebras.coop.br","Alta","Organiza a agenda do ramo crédito e historicamente o Concred.",0,"Concred",,"A mapear.","2026-08-30"
"Sescoop","Serviço nacional de aprendizagem","Todos os ramos","Nacional","","Alta","Financia e executa formação e educação cooperativista — tema central da tese de Sergio (5º princípio).",0,,,"Fonte natural de dados sobre formação e educação cooperativista.","2026-08-30"
"OCERGS","Organização estadual","Todos os ramos","RS","","Alta","Estado de origem do cooperativismo de crédito brasileiro; densidade institucional alta.",0,,,"A mapear.","2026-08-30"
"OCEMG","Organização estadual","Todos os ramos","MG","","Alta","",0,,,"A mapear.","2026-08-30"
"Sistema OCB/GO","Organização estadual","Todos os ramos","GO","goiascooperativo.coop.br","Alta","Anfitriã do 16º Concred. Cooperativismo de crédito goiano em forte expansão.",0,,,"Goiás somou 658 mil associados de cooperativas de crédito em 2026, com +18.200 no 1º trimestre (fonte: BureauCoop via MundoCoop, grau B/C).","2026-08-30"
